Modelo,Capas ocultas,Activación,Dropout,Learning rate,L2,Batch,Epochs,Val Loss,Val Acc,Tiempo (s)
19,"[512, 256, 128]",SiLU,0.0,0.001,0.0001,256,10,0.29455891726332883,0.8928417021802236,453.35
23,"[512, 256, 128]",GELU,0.2,0.001,0.0001,256,10,0.2961193331126535,0.8913717497375085,487.57
22,"[512, 256, 128]",GELU,0.0,0.001,0.0001,256,10,0.29707468120081565,0.8915817429436107,467.15
31,"[512, 256]",SiLU,0.0,0.001,0.0001,256,10,0.3005816703339104,0.8911864616144772,435.6
13,"[512, 256, 128]",ReLU,0.0,0.001,0.0001,256,10,0.30083381739512605,0.8908652955345563,1070.68
25,"[512, 256]",ReLU,0.0,0.001,0.0001,256,10,0.3009199509485287,0.8915817429436107,1043.47
34,"[512, 256]",GELU,0.0,0.001,0.0001,256,10,0.3011227961782401,0.8896794515471558,443.4
32,"[512, 256]",SiLU,0.2,0.001,0.0001,256,10,0.30277426070783414,0.8909394107837688,450.57
20,"[512, 256, 128]",SiLU,0.2,0.001,0.0001,256,10,0.3046942470295572,0.8877401025260947,456.33
33,"[512, 256]",SiLU,0.3,0.001,0.0001,256,10,0.30517864819580826,0.8891112346365264,466.38
35,"[512, 256]",GELU,0.2,0.001,0.0001,256,10,0.3052044988900705,0.8888765363473534,459.32
43,"[256, 128, 64]",SiLU,0.0,0.001,0.0001,256,10,0.3052284143136503,0.8891359397195973,290.32
28,"[512, 256]",LeakyReLU,0.0,0.001,0.0001,256,10,0.3060683246102619,0.8887900685566055,431.49
7,"[256, 128]",SiLU,0.0,0.001,0.0001,256,10,0.3061551302201364,0.8898276820455808,270.38
36,"[512, 256]",GELU,0.3,0.001,0.0001,256,10,0.3061812948729338,0.8893582854672348,460.63
26,"[512, 256]",ReLU,0.2,0.001,0.0001,256,10,0.307009849873627,0.8888147736396763,828.84
21,"[512, 256, 128]",SiLU,0.3,0.001,0.0001,256,10,0.30757270372628415,0.8870236551170403,485.0
16,"[512, 256, 128]",LeakyReLU,0.0,0.001,0.0001,256,10,0.3079280378502626,0.8893829905503057,454.69
24,"[512, 256, 128]",GELU,0.3,0.001,0.0001,256,10,0.308669469992069,0.8880612686060156,487.95
10,"[256, 128]",GELU,0.0,0.001,0.0001,256,10,0.3111134845563666,0.8866407263294422,274.3
40,"[256, 128, 64]",LeakyReLU,0.0,0.001,0.0001,256,10,0.3127752519932455,0.8881724414798344,286.54
8,"[256, 128]",SiLU,0.2,0.001,0.0001,256,10,0.313060161396156,0.8878512753999135,282.48
1,"[256, 128]",ReLU,0.0,0.001,0.0001,256,10,0.31389416589721897,0.8877524550676301,398.98
14,"[512, 256, 128]",ReLU,0.2,0.001,0.0001,256,10,0.3139082936552421,0.8867024890371193,718.26
17,"[512, 256, 128]",LeakyReLU,0.2,0.001,0.0001,256,10,0.3170214744772445,0.8850596010129084,483.87
11,"[256, 128]",GELU,0.2,0.001,0.0001,256,10,0.31735930171110655,0.8850348959298375,291.51
29,"[512, 256]",LeakyReLU,0.2,0.001,0.0001,256,10,0.3177879336128476,0.8862207399172379,447.92
46,"[256, 128, 64]",GELU,0.0,0.001,0.0001,256,10,0.3194024406773059,0.8836884689024767,298.63
4,"[256, 128]",LeakyReLU,0.0,0.001,0.0001,256,10,0.31995904737090464,0.8852201840528688,269.09
44,"[256, 128, 64]",SiLU,0.2,0.001,0.0001,256,10,0.3202631167996945,0.8846519671422395,306.8
27,"[512, 256]",ReLU,0.3,0.001,0.0001,256,10,0.3221196761172653,0.8835649434871224,738.57
37,"[256, 128, 64]",ReLU,0.0,0.001,0.0001,256,10,0.32390358950061376,0.8839478722747205,453.27
2,"[256, 128]",ReLU,0.2,0.001,0.0001,256,10,0.3245081273069141,0.8853807670928293,357.53
47,"[256, 128, 64]",GELU,0.2,0.001,0.0001,256,10,0.3251353004001293,0.8830584892841702,316.48
15,"[512, 256, 128]",ReLU,0.3,0.001,0.0001,256,10,0.32546415487862534,0.8830955469087765,735.12
9,"[256, 128]",SiLU,0.3,0.001,0.0001,256,10,0.32824485826567523,0.8817367673398802,282.48
12,"[256, 128]",GELU,0.3,0.001,0.0001,256,10,0.3297851912512764,0.8816873571737385,288.35
18,"[512, 256, 128]",LeakyReLU,0.3,0.001,0.0001,256,10,0.3346389309746986,0.8801432894818109,480.2
38,"[256, 128, 64]",ReLU,0.2,0.001,0.0001,256,10,0.3347725871985643,0.8806126860601569,410.5
30,"[512, 256]",LeakyReLU,0.3,0.001,0.0001,256,10,0.3348633717945321,0.879735655611142,453.52
5,"[256, 128]",LeakyReLU,0.2,0.001,0.0001,256,10,0.3378223955913297,0.8806991538509048,281.8
48,"[256, 128, 64]",GELU,0.3,0.001,0.0001,256,10,0.338818748666661,0.879500957321969,313.53
45,"[256, 128, 64]",SiLU,0.3,0.001,0.0001,256,10,0.33974055048043045,0.8782780557099623,305.5
41,"[256, 128, 64]",LeakyReLU,0.2,0.001,0.0001,256,10,0.34409894923494444,0.8776974862577975,303.48
3,"[256, 128]",ReLU,0.3,0.001,0.0001,256,10,0.3520612489631875,0.8748687542461862,381.28
6,"[256, 128]",LeakyReLU,0.3,0.001,0.0001,256,10,0.3602522597986065,0.8743623000432339,279.94
39,"[256, 128, 64]",ReLU,0.3,0.001,0.0001,256,10,0.37282722290570053,0.8698659749243407,383.76
42,"[256, 128, 64]",LeakyReLU,0.3,0.001,0.0001,256,10,0.3769928711915994,0.8676178123648941,302.37
