Modelo,Capas ocultas,Learning rate,Lambda L2,Batch size,Train Loss,Val Loss,Train Acc,Val Acc,Tiempo (s)
13,"[256, 128]",0.002,1e-05,256,0.3201110268982949,0.4244402094602396,0.89021,0.85905,332.48
15,"[256, 128]",0.002,0.0001,256,0.3261749710880429,0.42830270249683844,0.88742,0.85715,321.64
21,"[256, 128, 64]",0.002,1e-05,256,0.30716445872717135,0.43961733885924914,0.89025,0.85055,322.28
23,"[256, 128, 64]",0.002,0.0001,256,0.3097527941702687,0.4441170508367662,0.88954,0.8504,322.47
24,"[256, 128, 64]",0.002,0.0001,512,0.3359344110479823,0.4460334986511978,0.88125,0.84855,180.46
22,"[256, 128, 64]",0.002,1e-05,512,0.33743841351176496,0.44916336947515717,0.88171,0.84735,180.64
14,"[256, 128]",0.002,1e-05,512,0.3548441979444619,0.45129324842258084,0.87904,0.84925,180.63
16,"[256, 128]",0.002,0.0001,512,0.35436181927859056,0.451729359185041,0.8793,0.8493,177.04
19,"[256, 128, 64]",0.001,0.0001,256,0.39091315057483306,0.47260759227885685,0.86909,0.8394,323.41
17,"[256, 128, 64]",0.001,1e-05,256,0.395690166212108,0.4758586380220675,0.86777,0.83925,321.58
9,"[256, 128]",0.001,1e-05,256,0.41073375060067074,0.4773822544708138,0.86594,0.84445,322.73
11,"[256, 128]",0.001,0.0001,256,0.4117425994068366,0.4796109810634919,0.86538,0.8423,323.46
18,"[256, 128, 64]",0.001,1e-05,512,0.43233482394530204,0.49790146649954375,0.85696,0.83535,180.24
20,"[256, 128, 64]",0.001,0.0001,512,0.43398098680684205,0.4983988461557312,0.85641,0.83445,179.83
10,"[256, 128]",0.001,1e-05,512,0.4449256742174261,0.5030292173169528,0.85579,0.83545,177.34
12,"[256, 128]",0.001,0.0001,512,0.445087962591197,0.5038260311372492,0.85629,0.83685,179.85
7,"[128, 64]",0.002,0.0001,256,0.4422664482332018,0.5088689020663861,0.85548,0.83685,274.89
5,"[128, 64]",0.002,1e-05,256,0.4434459717442928,0.5107004437451542,0.85525,0.8355,275.04
6,"[128, 64]",0.002,1e-05,512,0.47334827418910064,0.5284581751451533,0.84641,0.83095,144.05
8,"[128, 64]",0.002,0.0001,512,0.47682138342372515,0.5313690874073703,0.84527,0.8317,144.49
1,"[128, 64]",0.001,1e-05,256,0.5347953431167364,0.575662343477015,0.83264,0.8207,276.01
3,"[128, 64]",0.001,0.0001,256,0.5351723471919518,0.5759386193334731,0.83236,0.81965,275.14
4,"[128, 64]",0.001,0.0001,512,0.5752386607665013,0.6082433339055813,0.82298,0.814,144.07
2,"[128, 64]",0.001,1e-05,512,0.5758736342988567,0.6095767591954604,0.82279,0.8121,144.27
